,CountryCode,Month,Year,tmpf,dwpf,mslp,sknt,feel,relh,ice_accretion_6hr,p01i
0,AE,1,2017,69.19277608486564,55.77675829158653,,6.734277560001829,69.14794965493134,64.73087952060656,,0.0
1,AE,2,2017,68.28014524763633,53.43340540765223,,8.167411167027959,68.18112532953418,61.45884423414996,,0.0
2,AE,3,2017,76.22091795918051,57.59864132313037,,7.743056948993518,75.96149498122637,57.15111228432889,,0.0
3,AE,4,2017,85.51288111770685,56.32102999099943,,7.087500024889464,85.31505159012985,42.910979113165,,0.0
4,AE,5,2017,91.50860237011595,62.70887916939601,,7.149128271674406,94.56134095180643,43.79981430093529,,0.0
5,AE,6,2017,95.58813596568287,70.20505216119088,,6.908915740008486,105.22021027205076,49.74610059529011,,0.0
6,AE,7,2017,99.48606663515889,69.12141315355515,,7.32312679218302,109.1441004715462,42.30834632598376,,0.0
7,AE,8,2017,97.60732222627773,68.30095006118741,,7.277162134516521,106.078759170933,43.678825658675116,,0.0
8,AE,9,2017,92.852612018627,66.21221190119327,,6.306888269110132,99.26929446631593,48.24334257975492,,0.0
9,AE,10,2017,87.15494774940792,67.78037193866264,,5.743730389330311,92.16570241325833,57.57905800733857,,0.0
10,AE,11,2017,78.28178649297288,58.01167193739866,,6.146806796292824,78.41850734574088,52.60472363969173,,0.0
11,AE,12,2017,69.66096255398371,53.767800655659656,,5.942411538987834,69.54354586289631,60.97092849048753,,0.0
12,AF,1,2017,44.519482572058514,29.93066946988743,1020.2739978171575,5.016726766172979,41.91722785721117,62.99323479550815,,0.0005972115997127877
13,AF,2,2017,46.17173211626083,30.18048546531813,1020.2236638886353,6.293250991884119,43.635802728595934,60.08582983123903,,0.0005639469972011823
14,AF,3,2017,57.48637692557026,35.99982045381611,1015.2777902323013,5.864920739747509,56.396182930249886,50.58734093697188,,0.00046962395919847137
15,AF,4,2017,69.72556891613499,40.51710468301742,1011.9922478444033,5.660391063346878,68.63283082779603,41.932786510603606,,0.0005873024598028377
16,AF,5,2017,80.97225229223551,41.25285924383369,1005.0616337832986,5.831314320234291,78.83438202178208,30.47495214866354,,7.969589730150125e-05
17,AF,6,2017,86.5229497856139,39.76678831326349,999.0054631797555,6.916345759191682,83.91845409395532,24.203187419747444,,2.255639097744333e-05
18,AF,7,2017,87.8458000572668,44.848376891555574,998.4491162379406,7.119825847805083,86.06957586063001,27.95359127540827,,7.685063272620789e-05
19,AF,8,2017,85.67707712355842,40.09533242004607,998.0823321359255,7.163557603890793,83.9360321383277,25.03234403481919,,0.00037096774193548385
20,AF,9,2017,78.63616998483003,35.4589850564264,1003.8677317323092,5.285118124931265,76.90255795980767,26.228758821949047,,0.00024908100516103675
21,AF,10,2017,70.28575026758547,31.71416853046619,1008.1567298072761,3.808593892242813,68.49745745890841,30.107646477196223,,0.0005267385408898507
22,AF,11,2017,61.42144054654033,35.52252548016337,1011.1343409388879,2.9164499199818033,57.964317866584686,50.31459002270193,,0.0014925031867716516
23,AF,12,2017,47.377972605891145,26.360234362448143,1017.3265281925771,3.1557903034583656,45.8767279154466,49.35867378088747,,0.0005497527755863517
24,AG,1,2017,76.72099471169317,67.63584282617802,,8.581575306932951,77.91616806696499,74.03578391363715,,0.0
25,AG,2,2017,77.48671805678794,67.68070097604259,,8.182943286010056,78.75975894705708,72.24199210662526,,0.0
26,AG,3,2017,77.90406935000483,68.49630447813057,,9.784459388204128,79.41632092162163,73.24447722364125,,0.0
27,AG,4,2017,78.66971947907165,69.56405308266612,,8.404931963634862,80.8370710483317,74.19202593846305,,0.0
28,AG,5,2017,80.2882558404501,72.59847423795433,,8.772875405615164,84.53972826561164,77.79528513732242,,0.0
29,AG,6,2017,81.58544618425053,73.30680145941015,,9.54276080199993,86.83124076467011,76.32182241731698,,0.0
30,AG,7,2017,82.83837153169411,74.44501961572789,,9.046450599423952,89.52163431918713,76.14235652141221,,0.0
31,AG,8,2017,83.31252360257939,75.09380797517643,,9.533107991331535,90.80437120700033,76.70804718895772,,0.0
32,AG,9,2017,81.81302648914776,75.24672460994384,,9.11321553958091,88.3519936401133,80.84333117341735,,0.0
33,AG,10,2017,81.41007149278958,74.04462597383916,,7.199320529348579,86.91540776484956,78.78469586803774,,0.0
