,,Total Grains/Cereals-Area Harvested-1000 Ha,Total Grains/Cereals-Yield-MT / Ha,Total Grains/Cereals-Production Quantity-1000 MT,"Economic Data-Gross Domestic Product, constant prices-Percent change",Economic Data-GDP (constant 2005 US$)-Million,Economic Data-Imports of goods and services (constant 2005 US$)-Million,Economic Data-Exports of goods and services (constant 2005 US$)-Million,Economic Data-WB GDP (constant 2005 US$) / FAO population-$/Person,Total Grains/Cereals-Import Quantity-1000 MT,Total Grains/Cereals-Import Value-Million US$,Total Grains/Cereals-Import Unit Value-US$ / MT,Total Grains/Cereals-Export Quantity-1000 MT,Total Grains/Cereals-Stock Variation-1000 MT,Total Grains/Cereals-Feed + Seed-1000 MT,Total Grains/Cereals-Waste + Processed + OtherUtilization-1000 MT,Total Grains/Cereals-Food Availability-1000 MT,Total Grains/Cereals-Food Availability per capita-kg/cap/yr,Population-Total Population - Both Sexes-Million,Root Crops (R&T)-FAO Conversion Rate for Root Crops from MT to Grain Equiv. MT-Conversion Rate,Root Crops (R&T)-Area Harvested-1000 Ha,Root Crops (R&T)-Yield-MT / Ha,Root Crops (R&T)-Production Quantity-Grain Equiv. 1000 MT,Root Crops (R&T)-Import Quantity-Grain Equiv. 1000 MT,Root Crops (R&T)-Export Quantity-Grain Equiv. 1000 MT,Root Crops (R&T)-Stock Variation-Grain Equiv. 1000 MT,Root Crops (R&T)-Feed + Seed-Grain Equiv. 1000 MT,Root Crops (R&T)-Waste + Processed + OtherUtilization - Stock Variation-Grain Equiv. 1000 MT,Root Crops (R&T)-Food Availability-Grain Equiv. 1000 MT,Root Crops (R&T)-Food Availability per capita-kg/cap/yr,Total Grains/Cereals and Root Crops (R&T)-Production Quantity-Grain Equiv. 1000 MT,Total Grains/Cereals and Root Crops (R&T)-Food Availability per capita-kg/cap/yr,Total Grains/Cereals and Root Crops (R&T)-Food Supply-Grain Equiv. 1000 MT,Total Grains/Cereals and Root Crops (R&T)-Area Harvested-1000 Ha,Other-Food Supply-Grain Equiv. 1000 MT / yr,Other-Food Supply-Grain Equiv. kg/cap/yr,Food Aid-Cereal Food Aid-Grain Equiv. 1000 MT,Food Aid-Total-Grain Equiv. 1000 MT,Food Aid-Non-Cereal Food Aid-Grain Equiv. 1000 MT
1980,Rwanda,224.918,1.205305089,271.09481,-3.576,1392.526222,152.3284057,146.3551773,268.8793632,16.435,8.467,515.1810161,0.0,-6.75,5.971,55.353,225.883,43.61517668,5.179,0.296200942,197.728,2.493561384,493.0469053,0.0,0.000592,-15.79728482,9.636719918,39.68618697,443.7232283,85.67739493,764.1417153,129.2925716,780.5767153,422.646,630.3282676,255.8556491,,,
1980,Somalia,575.2,0.453300939,260.7387,,,,,,220.59,69.554,315.3089442,0.088,0.0,16.986,0.0,0.0,0.0,6.436,0.0,3.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,260.7387,,481.3287,578.74,,,,,
1980,Sudan,4290.453,0.628916341,2698.336,2.5,8857.481172,2195.438043,1608.115259,441.3074173,236.181,71.067,300.9005805,287.925,154.322,169.798,298.271,2322.151,115.6968263,20.071,0.327114012,87.025,1.10106144,95.81987185,0.414126339,0.0,0.0,13.9772546,9.623367107,86.27403076,4.298442069,2794.155872,119.9952683,3030.750998,4377.478,1398.984973,242.1149593,,,
1980,Tanzania,2901.8,0.986834723,2863.597,3.266,,,,,398.573,112.876,283.2003171,3.466,-160.0,210.346,655.677,2256.104,120.7376646,18.686,0.224172079,696.7,1.807223046,1259.092296,0.0,0.445878265,0.0,21.35463223,267.2079621,967.5764586,51.780823,4122.689296,172.5184876,4521.262296,3598.5,1082.787434,248.2292125,,,
1980,Uganda,723.0,1.483179806,1072.339,-3.392,,,,,52.223,15.2,291.0594949,0.0,95.143,138.82,364.708,718.82,56.76986258,12.662,0.348659004,557.0,2.15204606,1198.689655,0.0,0.0,0.0,182.1603831,175.4452107,841.0840613,66.42584594,2271.028655,123.1957085,2323.251655,1280.0,1579.502863,253.0765371,,,
1980,Angola,704.0,0.612694602,431.337,2.406,,,,,340.937,93.721,274.8924288,1.1,-70.0,29.061,82.481,612.017,80.12791307,7.638,0.322910885,363.5,1.203698072,437.5442492,3.459990133,0.0,0.0,12.94872649,14.39278397,413.6630517,54.15855613,868.8812492,134.2864692,1213.278239,1067.5,365.3889191,224.2642821,,,
1980,Lesotho,202.642,0.959805963,194.497,-0.825,562.142227,970.7375166,56.48957844,429.1162038,107.38,21.606,201.2106538,0.0,-47.833,18.70731,38.892,254.916,194.5923664,1.31,0.225247525,1.2,3.378712871,4.054455446,0.900990099,0.0,0.0,0.0,0.495544554,4.45990099,3.404504573,198.5514554,197.996871,306.8324455,203.842,55.35503493,271.5329118,,,
1980,Madagascar,1330.635,1.153987352,1535.53596,0.788,3598.002117,2278.748959,1282.226583,417.9349654,110.126,34.424,312.5873999,1.641,45.311,304.566,208.049,1212.176,140.8033453,8.609,0.250668278,395.21,1.460204082,577.0872553,0.0,1.296205663,0.0,81.05433956,120.9053317,373.8321304,43.42340927,2112.623215,184.2267546,2222.749215,1725.845,414.1684912,251.4193922,,,
1980,Malawi,1054.0,1.175375712,1238.846,0.395,1436.986025,557.5808693,356.9947258,230.2862219,36.273,11.216,309.2107077,12.497,69.99,139.45664,144.487,1051.726,168.5458333,6.24,0.213701431,88.0,1.366232106,120.2284254,0.0534,3.428625767,0.0,8.975460123,12.6147955,95.26382413,15.26663848,1359.074425,183.8124718,1395.400851,1142.0,366.5305816,254.8638625,,,
1980,Mozambique,1113.0,0.573247978,638.025,4.228,2498.193801,1807.773428,350.7379108,205.6803722,369.359,83.176,225.1901267,10.0,-5.314,32.83,56.028,928.762,76.46649103,12.146,0.360233918,885.0,1.512168368,1338.269006,0.0,0.0,0.0,142.2203509,42.50760234,1153.541053,94.97291723,1976.294006,171.4394083,2345.653006,1998.0,269.1429248,227.9672386,,,
