,CountryCode,Month,Year,tmpf,dwpf,mslp,sknt,feel,relh,ice_accretion_6hr,p01i
0,AE,1,1991,66.6053698630137,53.859542543458375,1017.4227102803738,5.587330316742081,66.54981701738335,66.12494053064958,,
1,AE,2,1991,67.53049302325581,52.396913002806365,1016.9730232558139,6.985198889916743,67.37825070159028,61.382750233863426,,
2,AE,3,1991,72.7568782161235,58.90953206239168,1012.9036333608589,6.314130803117587,72.79946273830156,65.416287694974,,
3,AE,4,1991,79.87873684210525,61.071445684726385,1009.6527777777778,6.188219544846051,80.19526817315545,56.61648243942282,,
4,AE,5,1991,82.14013544018059,62.69487231869254,1006.3100909842844,7.067628045748384,83.11204800817161,55.1710137895812,,
5,AE,6,1991,89.11520197856554,68.02517901748543,999.8740359897172,6.546017222820237,93.50946988620593,54.70324451845684,,
6,AE,7,1991,91.40337162837162,76.00981781376518,996.8585178875638,5.248282630029441,105.41002277327935,64.37060222672065,,
7,AE,8,1991,93.6032558139535,76.43946601941747,998.5221857025473,6.215758857747224,108.41235436893204,60.45990291262136,,
8,AE,9,1991,89.08799103390305,70.95918781725888,1005.8227621483377,6.446582984658298,96.27931472081218,58.70507896221094,,
9,AE,10,1991,81.8355020746888,68.9432663316583,1011.610966693745,5.009911599249933,84.75866275823563,69.31153545505305,,
10,AE,11,1991,74.21439468361744,60.88847724620771,1016.8011690647481,5.004021832806664,74.3864235705951,65.75557176196033,,
11,AE,12,1991,69.41343255813953,58.192327827983796,1017.4424486148348,5.514488286066585,69.40282642567779,69.7744312870053,,
12,AF,1,1991,22.471999999999998,9.901538461538461,1025.3142857142857,1.8888888888888888,22.553076923076922,60.644615384615385,,
13,AF,2,1991,14.392553191489363,9.160443213296398,1010.7483870967743,5.663533834586466,8.281176470588235,80.95249307479224,,
14,AF,3,1991,26.941379310344825,24.0656,1009.3259259259258,6.543478260869565,21.357391304347825,86.3548,,
15,AF,4,1991,68.52714285714286,50.375,1011.9,3.6923076923076925,68.81833333333333,54.52916666666667,,
16,AF,5,1991,71.21230769230769,53.21,1009.9333333333334,5.538461538461538,72.08749999999999,55.0,,
17,AF,6,1991,88.28461538461539,53.01499999999999,1002.8666666666666,5.769230769230769,87.64166666666667,32.196666666666665,,
18,AF,7,1991,89.705,57.29,999.38,5.3478260869565215,89.98208333333334,35.55041666666667,,
19,AF,8,1991,91.11714285714285,59.33428571428571,999.0,12.076923076923077,93.49000000000001,36.62,,
20,AF,9,1991,68.288,48.884,1011.3125,3.4,67.851,59.154999999999994,,
21,AF,10,1991,68.54,47.41,1012.8666666666667,1.368421052631579,68.54,48.404444444444444,,
22,AF,11,1991,50.7283850931677,37.77314285714286,1023.0085365853658,3.369047619047619,50.11723809523809,64.09825396825397,,
23,AF,12,1991,46.86066350710901,35.06439024390244,1021.2270967741936,3.3486238532110093,45.838465346534655,66.50180487804879,,
24,AG,1,1991,78.02667814113597,69.61290877796901,1018.1371244635194,16.08635578583765,79.03829604130809,75.8255421686747,,0.0
25,AG,2,1991,77.37886323268206,71.0885918003565,1016.6403930131004,13.802973977695167,78.65950089126561,81.53664884135472,,0.0
26,AG,3,1991,78.25242914979756,69.78843813387424,1016.014025974026,13.482617586912065,79.45294117647059,75.77655172413792,,0.0
27,AG,4,1991,79.40910852713178,71.4017543859649,1016.1403022670025,14.339147286821705,81.42479532163742,77.10230019493179,,0.0
28,AG,5,1991,80.85100806451612,72.8260162601626,1015.7628947368422,14.758691206543967,84.19906504065041,77.04138211382114,,0.0
29,AG,6,1991,82.20723140495869,74.09338842975208,1016.598568019093,15.493801652892563,87.58254132231404,76.91545454545455,,0.0
30,AG,7,1991,82.64147286821705,74.3615984405458,1017.1960416666666,15.932821497120921,88.81278752436647,76.50502923976609,,0.0
