,CountryCode,Month,Year,tmpf,dwpf,mslp,sknt,feel,relh,ice_accretion_6hr,p01i
1358,CR,5,1960,73.18300653594771,65.26797385620915,1010.908695652174,9.472972972972974,73.49,77.8362091503268,,0.0
1359,CR,6,1960,72.38255033557047,65.52348993288591,1011.3879120879121,9.236486486486486,72.48496644295302,80.28342281879195,,0.0
1360,CR,7,1960,72.36774193548388,64.63870967741936,1011.8778761061947,10.227272727272727,72.49283870967741,78.10535483870967,,0.0
1361,CR,8,1960,72.80794701986756,65.0728476821192,1011.4747663551402,10.086666666666666,72.98735099337749,78.25615894039736,,0.0
1362,CR,9,1960,72.06666666666666,64.65333333333334,1011.3468085106383,8.573333333333334,72.1636,78.90693333333333,,0.0
1363,CR,10,1960,70.49673202614379,65.24183006535948,1011.5323232323232,7.457516339869281,70.56705882352941,84.80496732026144,,0.0
1364,CR,11,1960,72.34751773049645,63.59574468085106,1011.6051546391752,10.567375886524824,72.42049645390071,75.62099290780141,,0.0
1365,CR,12,1960,72.90259740259741,59.52597402597402,1012.4932692307692,17.11038961038961,72.99506493506493,64.49175324675325,,0.0
1366,CU,1,1960,76.61008064516129,68.2095430107527,1016.4870967741936,7.062586926286509,77.8726747311828,76.32764784946237,,0.0
1367,CU,2,1960,77.36752873563219,69.39353448275862,1014.9001436781609,6.812312312312312,79.14007183908046,77.54515804597702,,0.0
1368,CU,3,1960,77.79139784946237,67.43064516129033,1016.0060483870968,8.498591549295774,79.39435483870967,71.60623655913979,,0.0
1369,CU,4,1960,80.60333333333334,71.26013888888889,1014.2033333333334,7.427941176470588,83.70195833333334,74.22109722222223,,0.0
1370,CU,5,1960,82.54704301075269,73.0013440860215,1012.972311827957,6.056497175141243,87.23244623655914,73.95620967741935,,0.0
1371,CU,6,1960,82.01930555555556,74.43472222222222,1014.0758333333333,6.434402332361516,87.07222222222222,78.99693055555555,,0.0
1372,CU,7,1960,84.21034946236558,73.97889784946237,1015.0884408602151,6.387464387464387,90.61571236559139,72.36766129032259,,0.0
1373,CU,8,1960,84.25067204301075,74.3241935483871,1014.6681451612903,6.876944837340877,90.75194892473118,73.24831989247312,,0.0
